"IfcGUID","Level","ZoneName","Number","Name","IfcExportAs","Department","Occupancy","Area","Volume","Perimeter","Unbounded Height"
"1gC2lqngj8hQ9OgWx$76Mg","2ET","2ET_South","223","Computer Classroom","IfcSpace","Public","Occupied","67 m²","168.65 m³","33.00","3.64"
"1gC2lqngj8hQ9OgWx$76N4","2ET","2ET_South","224","Classroom","IfcSpace","Public","Occupied","44 m²","111.11 m³","28.49","3.64"
"1gC2lqngj8hQ9OgWx$76NF","2ET","2ET_South","230","Classroom","IfcSpace","Public","Occupied","44 m²","110.34 m³","28.42","3.64"
"1gC2lqngj8hQ9OgWx$76HP","2ET","2ET_South","231","Men Bathroom","IfcSpace","Public","Occupied","10 m²","26.16 m³","13.38","3.64"
"1gC2lqngj8hQ9OgWx$76Ns","2ET","2ET_South","232","Classroom","IfcSpace","Public","Occupied","42 m²","107.52 m³","27.74","3.64"
"1gC2lqngj8hQ9OgWx$76HM","2ET","2ET_South","234","Women Bathroom","IfcSpace","Public","Occupied","6 m²","15.01 m³","10.21","3.64"
"3ouNmxeFb5CQ_5Hd2J9uHU","3ET","3ET_North","300","Meeting Room","IfcSpace","Personnel","Unoccupied","33 m²","81.95 m³","24.08","3.70"
"3ouNmxeFb5CQ_5Hd2J9uUp","3ET","3ET_North","301","Office","IfcSpace","Public","Occupied","17 m²","43.64 m³","17.89","3.70"
"3ouNmxeFb5CQ_5Hd2J9uHH","3ET","3ET_North","302","Office","IfcSpace","Public","Occupied","20 m²","50.45 m³","17.76","3.70"
"3ouNmxeFb5CQ_5Hd2J9uHI","3ET","3ET_North","303","Office","IfcSpace","Public","Occupied","16 m²","42.15 m³","16.37","3.70"
"3ouNmxeFb5CQ_5Hd2J9uHF","3ET","3ET_North","304","Office","IfcSpace","Public","Occupied","16 m²","41.81 m³","16.28","3.70"
"3ouNmxeFb5CQ_5Hd2J9uVB","3ET","3ET_North","305","Office","IfcSpace","Public","Occupied","16 m²","41.31 m³","16.37","3.70"
"3ouNmxeFb5CQ_5Hd2J9uV4","3ET","3ET_North","306","Office","IfcSpace","Public","Occupied","16 m²","41.69 m³","16.26","3.70"
"3ouNmxeFb5CQ_5Hd2J9uV1","3ET","3ET_North","307","Office","IfcSpace","Public","Occupied","27 m²","69.26 m³","21.16","3.70"
"3ouNmxeFb5CQ_5Hd2J9uV2","3ET","3ET_North","308","Office","IfcSpace","Public","Occupied","27 m²","68.73 m³","21.08","3.70"
"3ouNmxeFb5CQ_5Hd2J9uU$","3ET","3ET_North","309","Storage Room","IfcSpace","Personnel","Unoccupied","13 m²","32.56 m³","16.03","3.70"
"3ouNmxeFb5CQ_5Hd2J9uT$","3ET","3ET_North","310","Men Bathroom","IfcSpace","Public","Occupied","7 m²","18.39 m³","11.83","3.70"
"3ouNmxeFb5CQ_5Hd2J9uTr","3ET","3ET_North","311","Bathroom","IfcSpace","Public","Occupied","9 m²","22.57 m³","13.94","3.70"
"3ouNmxeFb5CQ_5Hd2J9u2C","3ET","3ET_Floor","314","Office","IfcSpace","Public","Occupied","27 m²","69.14 m³","24.35","3.70"
"3ouNmxeFb5CQ_5Hd2J9u27","3ET","3ET_Floor","316","Office","IfcSpace","Public","Occupied","21 m²","54.07 m³","19.52","3.70"
"3ouNmxeFb5CQ_5Hd2J9u1_","3ET","3ET_Floor","318","Office","IfcSpace","Public","Occupied","27 m²","69.38 m³","24.42","3.70"
"3ouNmxeFb5CQ_5Hd2J9u1q","3ET","3ET_South","320","Office","IfcSpace","Public","Occupied","36 m²","90.38 m³","30.88","3.70"
"3ouNmxeFb5CQ_5Hd2J9uNA","3ET","3ET_South","321","Office","IfcSpace","Public","Occupied","33 m²","82.96 m³","25.35","3.70"
"3ouNmxeFb5CQ_5Hd2J9uN0","3ET","3ET_South","322","Meeting Room","IfcSpace","Public","Occupied","32 m²","79.69 m³","24.17","3.70"
"3ouNmxeFb5CQ_5Hd2J9uM_","3ET","3ET_South","323","Office","IfcSpace","Public","Occupied","26 m²","65.65 m³","20.46","3.70"
"3ouNmxeFb5CQ_5Hd2J9uMx","3ET","3ET_South","324","Office","IfcSpace","Public","Occupied","23 m²","59.09 m³","19.72","3.70"
"3ouNmxeFb5CQ_5Hd2J9uMq","3ET","3ET_South","325","Office","IfcSpace","Public","Occupied","26 m²","66.79 m³","20.59","3.70"
"3ouNmxeFb5CQ_5Hd2J9uMn","3ET","3ET_South","326","Office","IfcSpace","Public","Occupied","15 m²","38.18 m³","16.08","3.70"
"3ouNmxeFb5CQ_5Hd2J9uMo","3ET","3ET_South","328","Office","IfcSpace","Public","Occupied","16 m²","40.12 m³","15.96","3.70"
"3ouNmxeFb5CQ_5Hd2J9uMO","3ET","3ET_South","330","Storage Room","IfcSpace","Personnel","Unoccupied","19 m²","46.33 m³","20.56","3.70"
