"IfcGUID","Level","Room: Number","Assembly Code","Assembly Description","Family","Type"
"0ImRR5UQf38efws_Jt6E2Q","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2R","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2C","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2D","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2E","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2F","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E28","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E29","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2A","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1p","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1y","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1z","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1_","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1$","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1u","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1v","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1Y","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1Z","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1i","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1j","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1k","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1l","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1e","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1H","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1I","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1J","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1S","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1T","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1U","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E1V","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E0Y","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E0g","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E7v","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E7w","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E7x","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E7a","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E7b","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E7D","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E6r","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E6z","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E6T","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E65","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E5j","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E5D","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4T","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4U","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4V","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4O","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4P","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4Q","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
