"IfcGUID","Family","Type","Assembly_code","Assembly_description","Level","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number","Heat Transfer Coefficient (U)","Thermal Resistance (R)","Thickness"
"3M_k3tesD2zxOT0E0AxP3K","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","501H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxP2U","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","501F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxP1W","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","502","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxP0w","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","504","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxM$A","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","510","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxM_u","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","506","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxMyI","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","508","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxMxw","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","waiting-area","516","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxMwo","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","520","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxMvI","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","520","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxMva","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","526","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0VCuv0JOP1KuCC8aFa$bsZ","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","424","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$bxv","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","","426","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$b_x","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","","430","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$byp","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","408","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$c2T","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","406","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$c2l","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","407","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$c07","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","","409","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$c13","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","425","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0VCuv0JOP1KuCC8aFa$c6r","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","429","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2KP44OknLEdQ$v_TmkS8Gl","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","4ET","0.76","2.03","431H","431H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8UR","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","4ET","0.76","2.03","431","431","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8S3","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","507","507","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2KP44OknLEdQ$v_TmkS8Rn","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","511","511","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
